District,ETU_Density,Lethality Ratio,Gd
Colombo,0.023088023,0.020138074,0.229357798
Gampaha,0.007757405,0.018501243,0.740740741
Kalutara,0.003642987,0.009941106,35.06679389
Kandy,0.004670472,0.01721603,5.174537988
Matale,0.000971817,0.012457813,50.96006144
Nuwara Eliya,0.001719198,0.011828424,8.230452675
Galle,0.003092146,0.019843181,13.33010179
Matara,0.002277904,0.012136618,21.35036496
Hambantota,0.001903312,0.012663806,55.83864119
Jaffna,0.00385208,0.014253936,20.41742287
Kilinochchi,0.001277955,0.003404338,63.39869281
Mannar,0.00097704,0.007305936,84.07843137
Vavunia,0.001034126,0.01444495,70.52341598
Mullaitivu,0.001491981,0.005108992,75.29734675
Batticaloa,0.001906214,0.006894571,72.10782478
Ampara,0.002234138,0.007675611,78.68155237
Trincomalee,0.001786352,0.006846189,73.95431623
Kurunegala,0.001427115,0.014844417,31.84447301
Puttalam,0.001386963,0.013031564,65.51466932
Anuradhapura,0.000970201,0.012831033,75.06053269
Polonnaruwa,0.001440092,0.016321719,73.43387471
Badulla,0.001741553,0.012471015,28.97144441
Moneragala,0.000694806,0.008052845,73.87150374
Ratnapura,0.00213025,0.014362141,36.19161677
Kegalle,0.002414001,0.020780499,8.897302414
