District,General_NGI,NGI_Trauma,Trauma_Resource_Score,Snake_Bites_Resource_Score,NGI_Snake_Bites,Asthma_Resource_Score,NGI_Asthma,IHD_Resource_Score,NGI_IHD,CV_Resource_Score,NGI_CV,Poisoning_Resource_Score,NGI_Poisoning,Pneumonia_Resource_Score,NGI_Pneumonia
Colombo,170.227615,29233.0275,1,1,177.2935779,1,2288.073393,1,6065.36697,1,1955.27523,1,731.19266,1,778.899082
Gampaha,1330.81899,215605.363,0.295608671,0.420700465,3100.648925,0.510441808,18665.02169,0.285619766,36399.0786,0.254793679,19164.3803,0.387183982,6887.337271,0.397364885,4971.64101
Kalutara,105237.662,19236027.8,0.110603527,0.168772332,307923.6267,0.166620598,1770801.491,0.145802196,2731945.91,0.092904962,1587923.81,0.144047057,709383.7205,0.156270948,288126.2574
Kandy,13321.7223,1625417.23,0.196702943,0.274728646,23525.02388,0.141851502,353440.7303,0.172807236,403285.646,0.1600602,247864.133,0.215113261,105144.1712,0.198564789,63325.06067
Matale,32653.6394,8072917.37,0.19106589,0.272298254,218963.1077,0.368200409,434723.9956,0.235653644,1050541.7,0.175384869,528531.066,0.297298254,376074.7779,0.338503439,105231.0813
Nuwara Eliya,18840.0356,4663013.47,0.045234706,0.056161936,68291.64385,0.085498551,301307.0597,0.050445856,525845.948,0.049426093,296073.267,0.060557541,540383.2372,0.055871511,138766.364
Galle,28039.9557,4130466.35,0.164099876,0.166550934,140383.4732,0.135015394,1072802.754,0.166069226,746896.941,0.136029701,426666.11,0.141276208,222960.6165,0.132940802,149905.0852
Matara,32285.3308,7582685.99,0.095977849,0.125062361,161840.4277,0.225076968,612403.6475,0.11408339,1092564.23,0.097024101,483234.588,0.11407335,378444.5531,0.144400977,114439.5473
Hambantota,95873.4775,17619975.3,0.106404134,0.141444752,637164.4468,0.14041102,3392209.584,0.093433467,2290715.73,0.10377734,887802.269,0.135400796,872215.8955,0.1396651,351027.759
Jaffna,15248.1924,2410060.72,0.218325373,0.243190858,49198.4357,0.17718151,969006.9196,0.21923377,432033.918,0.252245628,183254.099,0.254454594,261903.1831,0.238650041,117208.7346
Kilinochchi,31186.6967,9691021.37,0.042045455,0.084615385,277225.1931,0.025641026,2754419.608,0.062994071,564603.399,0.053772727,224012.287,0.080769231,1110684.718,0.105151515,122997.1182
Mannar,32303.8184,7727861.25,0.040386224,0.046767343,638219.774,0.075947774,605559.577,0.037224169,1165491.99,0.043022588,598011.447,0.040998112,2151276.474,0.069700688,102533.6605
Vavunia,18290.3207,3410429.7,0.098017265,0.116611609,693068.5138,0.086510933,93747.60591,0.094113236,550020.268,0.097872129,261565.781,0.128150071,455113.7948,0.148189255,412606.1762
Mullaitivu,127542.121,25355140.7,0.017794486,0.042857143,553435.4986,0.033699634,1508197.671,0.0160401,1553819.58,0.0160401,549235.318,0.028571429,3120322.049,0.028571429,511268.9844
Batticaloa,155491.271,27012774.4,0.094184342,0.10907099,706725.6329,0.115249781,2498282.792,0.101468858,1964208.85,0.084176367,933724.41,0.087642419,3136324.07,0.076461902,681829.197
Ampara,115272.996,16950632.8,0.236746041,0.318903796,299770.9261,0.320074608,2649721.13,0.226143448,2178374.85,0.209084159,815851.408,0.271376323,1057103.791,0.263501182,419234.93
Trincomalee,114569.429,15834217.4,0.045449007,0.082737814,345915.838,0.054647295,1883796.945,0.056242294,1664693.19,0.038949804,1059479.23,0.057463089,2185305.924,0.062269673,362231.9717
Kurunegala,198481.634,24989493.6,0.110286819,0.150748331,787723.7428,0.145795411,3613522.246,0.109517108,3923963.75,0.096770073,2030054.83,0.116957123,1802731.215,0.119175365,740697.371
Puttalam,195610.92,30122084.9,0.068457221,0.115961033,553671.9911,0.105874289,2618129.177,0.063859759,6657160.9,0.048839996,2482957.88,0.094532461,1949518.314,0.101375455,921563.4951
Anuradhapura,159290.729,25579156.6,0.140104898,0.2277186,1213330.05,0.189408751,2471652.131,0.157839452,5013246.85,0.149214946,1968884.03,0.193927392,2582816.849,0.205143016,599333.8435
Polonnaruwa,118658.92,19915650,0.109577538,0.132855795,645040.2265,0.175860132,1431846.741,0.104609089,3263522.2,0.10484229,1195620.81,0.115273377,1526350.39,0.132946379,578317.8717
Badulla,68872.1871,12832198.7,0.101199807,0.156546215,137689.4019,0.171038675,1370496.8,0.123133098,1311011.34,0.115528355,586057.557,0.133194566,843947.3737,0.148707673,356133.6105
Moneragala,215292.719,52003876.2,0.036771062,0.084386166,1666758.307,0.135233376,3033883.674,0.084621419,3580900.82,0.044471221,3455104.75,0.072023529,2328243.516,0.085862747,899919.8828
Ratnapura,123425.231,17182334.3,0.112399935,0.16802063,298974.9781,0.149303355,2870539.148,0.113731326,2125711.6,0.111691801,1524242.28,0.138075575,837980.2079,0.143639019,599418.2961
Kegalle,33579.6904,5737376.97,0.053812969,0.077590508,188861.4667,0.084399649,547650.2136,0.062851871,709356.487,0.047832108,556545.171,0.063304793,233027.0208,0.070157225,207223.0209
