District,Lethality Ratio,Gd,General_NGI,NGI_Trauma,NGI_Snake_Bites,NGI_Asthma,NGI_IHD,NGI_CV,NGI_Poisoning,NGI_Pneumonia,Population
Colombo,0.020138074,0.2293578,170.227615,29233.0275,177.2935779,2288.073393,6065.36697,1955.27523,731.19266,778.899082,2375000
Gampaha,0.018501243,0.74074074,1330.81899,215605.363,3100.648925,18665.02169,36399.0786,19164.3803,6887.337271,4971.64101,2436000
Kalutara,0.009941106,35.0667939,105237.662,19236027.8,307923.6267,1770801.491,2731945.91,1587923.81,709383.7205,288126.2574,1306000
Kandy,0.01721603,5.17453799,13321.7223,1625417.23,23525.02388,353440.7303,403285.646,247864.133,105144.1712,63325.06067,1462000
Matale,0.012457813,50.9600614,32653.6394,8072917.37,218963.1077,434723.9956,1050541.7,528531.066,376074.7779,105231.0813,527000
Nuwara Eliya,0.011828424,8.23045268,18840.0356,4663013.47,68291.64385,301307.0597,525845.948,296073.267,540383.2372,138766.364,725000
Galle,0.019843181,13.3301018,28039.9557,4130466.35,140383.4732,1072802.754,746896.941,426666.11,222960.6165,149905.0852,1097000
Matara,0.012136618,21.350365,32285.3308,7582685.99,161840.4277,612403.6475,1092564.23,483234.588,378444.5531,114439.5473,838000
Hambantota,0.012663806,55.8386412,95873.4775,17619975.3,637164.4468,3392209.584,2290715.73,887802.269,872215.8955,351027.759,671000
Jaffna,0.014253936,20.4174229,15248.1924,2410060.72,49198.4357,969006.9196,432033.918,183254.099,261903.1831,117208.7346,595000
Kilinochchi,0.003404338,63.3986928,31186.6967,9691021.37,277225.1931,2754419.608,564603.399,224012.287,1110684.718,122997.1182,124000
Mannar,0.007305936,84.0784314,32303.8184,7727861.25,638219.774,605559.577,1165491.99,598011.447,2151276.474,102533.6605,172000
Vavunia,0.01444495,70.523416,18290.3207,3410429.7,693068.5138,93747.60591,550020.268,261565.781,455113.7948,412606.1762,123000
Mullaitivu,0.005108992,75.2973468,127542.121,25355140.7,553435.4986,1508197.671,1553819.58,549235.318,3120322.049,511268.9844,137000
Batticaloa,0.006894571,72.1078248,155491.271,27012774.4,706725.6329,2498282.792,1964208.85,933724.41,3136324.07,681829.197,596000
Ampara,0.007675611,78.6815524,115272.996,16950632.8,299770.9261,2649721.13,2178374.85,815851.408,1057103.791,419234.93,745000
Trincomalee,0.006846189,73.9543162,114569.429,15834217.4,345915.838,1883796.945,1664693.19,1059479.23,2185305.924,362231.9717,443000
Kurunegala,0.014844417,31.844473,198481.634,24989493.6,787723.7428,3613522.246,3923963.75,2030054.83,1802731.215,740697.371,1768000
Puttalam,0.013031564,65.5146693,195610.92,30122084.9,553671.9911,2618129.177,6657160.9,2482957.88,1949518.314,921563.4951,819000
Anuradhapura,0.012831033,75.0605327,159290.729,25579156.6,1213330.05,2471652.131,5013246.85,1968884.03,2582816.849,599333.8435,960000
Polonnaruwa,0.016321719,73.4338747,118658.92,19915650,645040.2265,1431846.741,3263522.2,1195620.81,1526350.39,578317.8717,448000
Badulla,0.012471015,28.9714444,68872.1871,12832198.7,137689.4019,1370496.8,1311011.34,586057.557,843947.3737,356133.6105,872000
Moneragala,0.008052845,73.8715037,215292.719,52003876.2,1666758.307,3033883.674,3580900.82,3455104.75,2328243.516,899919.8828,528000
Ratnapura,0.014362141,36.1916168,123425.231,17182334.3,298974.9781,2870539.148,2125711.6,1524242.28,837980.2079,599418.2961,1145000
Kegalle,0.020780499,8.89730241,33579.6904,5737376.97,188861.4667,547650.2136,709356.487,556545.171,233027.0208,207223.0209,870000
