District,Gd,General_NGI_Final,Lethality Ratio,Average_Resource_Score,IAR,Hex_Covered_1hr,District_Area_km2
Colombo,0.2293578,0.002293576,0.020138074,1,0.8125,870,693
Gampaha,0.74074074,0.017452469,0.018501243,0.364530465,0.454545455,1742,1418
Kalutara,35.0667939,1.417654063,0.009941106,0.140717374,0.5,1361,1647
Kandy,5.17453799,0.156109132,0.01721603,0.194261225,0.777777778,2309,1927
Matale,50.9600614,0.485462537,0.012457813,0.268343537,1,1277,2058
Nuwara Eliya,8.23045268,0.29975818,0.011828424,0.057599456,1,2007,1745
Galle,13.3301018,0.329510879,0.019843181,0.148854591,1,1788,1617
Matara,21.350365,0.484947708,0.012136618,0.130814142,1,1293,1317
Hambantota,55.8386412,1.565910089,0.012663806,0.122933801,0.6,1456,2627
Jaffna,20.4174229,0.197516072,0.014253936,0.229040254,0.4,877,1298
Kilinochchi,63.3986928,0.263199009,0.003404338,0.064998487,0.5,616,1565
Mannar,84.0784314,0,0.007305936,0.050578128,0.5,406,2047
Vavunia,70.523416,0.088639982,0.01444495,0.1099235,0.5,749,1934
Mullaitivu,75.2973468,1.84837695,0.005108992,0.026224903,0.25,810,2681
Batticaloa,72.1078248,2.068857672,0.006894571,0.095464951,0.6,745,2623
Ampara,78.6815524,1.618790326,0.007675611,0.263689937,0.1,1203,4476
Trincomalee,73.9543162,0.999669484,0.006846189,0.056822711,0.4,878,2799
Kurunegala,31.844473,2.592218761,0.014844417,0.121321461,0.714285714,4242,4905
Puttalam,65.5146693,2.567380725,0.013031564,0.085557173,0.6,1387,3605
Anuradhapura,75.0605327,2.433191314,0.012831033,0.180479579,0.285714286,2266,7215
Polonnaruwa,73.4338747,1.567300791,0.016321719,0.1251378,0.4,1145,3472
Badulla,28.9714444,0.931171228,0.012471015,0.135621198,0.6,2562,2871
Moneragala,73.8715037,4.327528884,0.008052845,0.077624217,0.5,1887,5757
Ratnapura,36.1916168,1.823140648,0.014362141,0.133837377,0.428571429,2664,3286
Kegalle,8.89730241,0.435922682,0.020780499,0.065707018,1,1925,1657
